date,hour,corridor_route,speed
2020-03-29,10,I-35,73.4398712398609
2020-03-29,11,I-35,74.3723032776121
2020-03-29,12,I-35,74.6391646743078
2020-03-29,13,I-35,76.4877394617129
2020-03-29,14,I-35,74.4517589441511
2020-03-29,15,I-35,76.1588016734996
2020-03-29,16,I-35,78.0783588308999
2020-03-29,17,I-35,77.8492143548658
2020-03-29,18,I-35,78.1140235613722
2020-03-29,19,I-35,75.556860346947
2020-03-29,20,I-35,74.7562743569905
2020-03-29,21,I-35,71.1403926196873
2020-03-29,22,I-35,71.1358752807359
2020-03-29,23,I-35,69.8925562254987
2020-03-30,1,I-35,65.5438170165185
2020-03-30,2,I-35,62.845538496596
2020-03-30,3,I-35,58.7982465420632
2020-03-30,4,I-35,66.6398381308655
2020-03-30,5,I-35,72.0284679597159
2020-03-30,6,I-35,71.3045435497415
2020-03-30,7,I-35,71.495763993815
2020-03-30,8,I-35,66.9089368984803
2020-03-30,9,I-35,63.9839581220144
2020-03-30,10,I-35,62.8312809759437
2020-03-30,11,I-35,66.4682415528949
2020-03-30,12,I-35,67.736008621082
2020-03-30,13,I-35,67.6997173436961
2020-03-30,14,I-35,69.1405821675854
2020-03-30,15,I-35,72.0066566776576
2020-03-30,16,I-35,74.2234921445385
2020-03-30,17,I-35,74.6632653110286
2020-03-30,18,I-35,74.358543180457
2020-03-30,19,I-35,72.6376262810962
2020-03-30,20,I-35,69.8324164569901
2020-03-30,21,I-35,67.9780555761403
2020-03-30,22,I-35,66.8249365371854
2020-03-30,23,I-35,66.1801043437603
